rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk,corrected_file,observation_file,star,Name,gaia_dr3,Teff,eTeff,Logg,eLogg,[Fe/H],e[Fe/H],Vt,eVt,Gmag,Plx,Distance,Mass_t,Radius_t,SWFlag,Reference,Link,Update,Database,vrad_fractional_mean,true_vrad_fractional_mean,fwhm_fractional_mean,bis_span_fractional_mean,contrast_fractional_mean,vrad_subtract_mean,true_vrad_subtract_mean,fwhm_subtract_mean,bis_span_subtract_mean,contrast_subtract_mean,s_mw_mean,s_mw_std,ha_mean,ha_std,na_mean,na_std,ca_mean,ca_std,rhk_mean,rhk_std,s_mw_fractional_mean,ha_fractional_mean,na_fractional_mean,ca_fractional_mean,rhk_fractional_mean
59437.53831506008,-2174.76025,48.11,7477.005863,-32.279851,57.246647,516.566455,0.34936,0.18211,0.465102,-4.545098,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.02145884829000624,-197251.99999989907,-0.000410680094283515,0.043006582850569956,0.0003418520361556366,47.69124956097585,48.110243902439024,-3.0719190487798187,-1.331004146341467,0.01956319512194682,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.003262459469635598,0.006141966031813906,0.0006599133213769999,0.003471624004576103,-0.0003791981049557838
59437.54226760985,-2177.035396,45.83,7475.08307,-31.580881,57.238499,517.318432,0.350085,0.181946,0.465822,-4.544336,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.020435138211091206,-187903.99999990384,-0.0006677353089518829,0.02042189647097477,0.00019947189971906604,45.41610356097544,45.83024390243902,-4.994712048780457,-0.6320341463414678,0.011415195121941224,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.004722930406496198,0.008229935248017939,-0.00024123557645784342,0.005025045768583338,-0.0005467876819118699
59437.546397769824,-2179.202617,43.45,7474.116028,-32.931664,57.242054,518.070345,0.350829,0.181935,0.466542,-4.543576,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.019459989371880176,-178145.99999990888,-0.0007970176544269641,0.06406756140922487,0.0002615928355355215,43.248882560975744,43.45024390243903,-5.961754048779767,-1.982817146341464,0.014970195121946972,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.006183277044156084,0.01037262365747435,-0.00030167849033691863,0.006578467532590573,-0.0007139373912120371
59437.55074374005,-2181.89504,40.94,7474.71702,-32.177716,57.256935,518.546523,0.350409,0.181665,0.466999,-4.543095,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.018248524014579093,-167854.99999991411,-0.0007166719658511071,0.039706459893390035,0.0005216270537866884,40.55645956097578,40.94024390243902,-5.360762048780089,-1.228869146341463,0.029851195121942453,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.007108098055666281,0.009163041490845836,-0.001785277285552953,0.007564458846689581,-0.0008197255624926669
59437.554865359794,-2183.792252,38.56,7475.447079,-32.909677,57.246594,517.067939,0.348935,0.181384,0.465582,-4.54459,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.017394866690504718,-158096.99999991912,-0.0006190715101778285,0.0633571310625318,0.0003409259012475239,38.65924756097547,38.560243902439026,-4.6307030487805605,-1.9608301463414683,0.019510195121945628,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.004236429161927514,0.004917984077487339,-0.0033293189946480626,0.0045072385139142196,-0.0004909244895931745
59437.55902558984,-2186.348662,36.15,7473.743511,-31.789973,57.255352,516.190108,0.349151,0.181718,0.464741,-4.54548,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.016244600868953747,-148215.99999992416,-0.0008468188745285373,0.02717794786728975,0.0004939653262488329,36.102837560975786,36.15024390243902,-6.334271048780465,-0.8411261463414661,0.028268195121945894,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.002531527731464507,0.005540054906039164,-0.0014940523368624338,0.0026927555923446952,-0.0002951833826496836
59437.56317690015,-2188.826982,33.76,7475.488339,-31.873302,57.249776,516.620539,0.349869,0.181503,0.465154,-4.545043,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.015129471922162453,-138416.99999992916,-0.0006135555247558729,0.0298704229825669,0.0003965289442200564,33.62451756097562,33.76024390243902,-4.589443048779685,-0.9244551463414652,0.022692195121940983,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.0033675000628308038,0.007607864419466113,-0.0026754365626824824,0.0035838155764210625,-0.0003912944654973628
59437.56747541018,-2191.072047,31.27,7476.050993,-32.843806,57.251096,516.824752,0.349498,0.181552,0.465349,-4.544836,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.014119296896771095,-128207.9999999344,-0.0005383351839527758,0.06122874804679385,0.00041959494570460606,31.37945256097555,31.270243902439024,-4.0267890487803015,-1.894959146341467,0.02401219512194075,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.003764117447975672,0.006539400172277501,-0.002406190855402591,0.004004533970839691,-0.00043682076789874083
59437.5715736798,-2193.349033,28.91,7475.277669,-32.097511,57.25426,517.020732,0.350104,0.181506,0.465537,-4.544638,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.013094758903276233,-118531.99999993935,-0.0006417196703889533,0.0371149255341537,0.00047488345229343166,29.1024665609757,28.910243902439024,-4.8001130487800765,-1.1486641463414635,0.027176195121946023,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.004144744906270118,0.008284654441270318,-0.0026589521316245112,0.00441014965366373,-0.0004803676658479954
59437.575743400026,-2195.621149,26.5,7475.753554,-31.61451,57.234747,516.469289,0.349294,0.181619,0.465009,-4.545197,HD189733_esp19_3_linear_corrected.csv,HD189733_esp19_3.rdb,HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA,-0.012072412183697005,-108650.99999994441,-0.000578099342650932,0.02150849592196602,0.00013390853792360054,26.830350560975603,26.500243902439024,-4.324228048780242,-0.6656631463414655,0.007663195121942579,514.8866581463415,3.870601137446741,0.34722734146341466,0.001909772703880708,0.18198990243902438,0.0007356328841507195,0.4634929268292683,0.003707448855953664,-4.546822146341464,0.003962497719626921,0.003073746092695854,0.005951888834200813,-0.002038038561774873,0.0032709736933918135,-0.0003574246559812542
