star,Name,gaia_dr3,Teff,eTeff,Logg,eLogg,[Fe/H],e[Fe/H],Vt,eVt,Gmag,Plx,Distance,Mass_t,Radius_t,SWFlag,Reference,Link,Update,Database
piMensae,pi Men,4623036865373793408,6010.0,15.0,4.46,0.04,0.1,0.01,1.14,0.02,5.5116,54.6825,18.2873862753166,1.1005133440860286,1.1591862103313264,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
TOI-129,HIP 65A,4923860051276772608,4712.0,166.0,4.3,0.42,0.05,0.05,1.26,0.29,10.5885,16.1641,61.865492047191,0.7152121134087565,0.6621862095515801,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
TOI-132,TOI-132,6520880040423258240,5368.0,45.0,4.33,0.09,0.26,0.03,0.85,0.07,11.3219,6.081,164.446637066272,0.9070468834465428,0.9500586660088296,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
TOI-2179,TIC 237913194,4715813347286590080,5722.0,26.0,4.27,0.04,0.188,0.02,0.958,0.036,11.930126,3.2485,307.8343851008158,1.02933915028071,1.139153058101822,1,Sousa et al. 2024,https://arxiv.org/abs/2409.11965,2024-09-19,EU;NASA
TOI-421,TOI-421,2984582227215748864,5316.0,27.0,4.35,0.06,-0.03,0.02,0.81,0.05,9.7834,13.3337,74.9979375567172,0.8328320723008498,0.8938025717892315,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
TOI-558,TOI-558,4727755005637190016,6466.0,38.0,4.381,0.035,-0.018,0.025,1.59,0.049,11.324756,2.4606,406.4049418840933,1.313582776034408,1.4939072158955449,1,Sousa et al. 2024,https://arxiv.org/abs/2409.11965,2024-09-19,EU;NASA
TOI-824,TOI-824,5880886001621564928,4562.0,130.0,4.316,0.368,-0.091,0.057,0.367,0.726,10.761123,15.6529,63.88592529179896,0.6835051625865115,0.6279988778650858,1,Sousa et al. 2024,https://arxiv.org/abs/2409.11965,2024-09-19,EU;NASA
WASP-106,WASP-106,3788394461991295488,6303.0,27.0,4.49,0.03,0.14,0.02,1.55,0.04,11.3623,2.7828,359.350294667242,1.2727189968144157,1.3513153345820308,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-118,WASP-118,2562569564026683520,6662.0,68.0,4.38,0.05,0.29,0.05,1.76,0.08,10.9188,2.5854,386.787344318094,1.4801152688236752,1.646619440192415,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-121,WASP-121,5565050255701441664,6827.0,72.0,4.64,0.06,0.46,0.05,1.97,0.1,10.3752,3.7996,263.185598484051,1.515508768966176,1.3997868365074797,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
