rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59574.54855623003,14825.818281,9.36,15.85,2.458869,13215.306432,4.917737,-15.779097,4.917737,34.809294,0.012953,200.360185,0.267601,0.218652,0.000117,0.37168,9.7e-05,0.162222,0.000256,-4.646629,0.001035,-0.630055,1,ESPRE.2021-12-26T01:04:47.320.fits
59574.55390112987,14827.519837,8.88,15.36,2.300755,13226.433573,4.60151,-12.748114,4.60151,34.830372,0.012118,198.504147,0.236398,0.217854,0.000107,0.37407,8.8e-05,0.160445,0.000226,-4.653869,0.00093,-0.634617,1,ESPRE.2021-12-26T01:12:23.623.fits
59574.55909771984,14823.936367,8.41,14.89,2.176497,13214.158342,4.352994,-10.455272,4.352994,34.846426,0.011479,200.217958,0.213684,0.220848,0.0001,0.372907,8.2e-05,0.162086,0.000205,-4.647179,0.000828,-0.639193,1,ESPRE.2021-12-26T01:19:59.906.fits
59574.56438161014,14824.30371,7.93,14.41,2.505885,13196.541168,5.01177,-4.18231,5.01177,34.853377,0.013237,197.573345,0.271211,0.219498,0.000122,0.375403,0.0001,0.159553,0.00026,-4.657546,0.001076,-0.643981,1,ESPRE.2021-12-26T01:27:36.132.fits
59574.57002572995,14825.307987,7.41,13.9,2.879781,13200.244833,5.759563,-16.399086,5.759563,34.832662,0.015198,198.384131,0.340743,0.22154,0.000149,0.37441,0.000122,0.16033,0.000326,-4.654341,0.001342,-0.649243,1,ESPRE.2021-12-26T01:35:12.559.fits
59574.57495392021,14821.531069,6.96,13.45,2.263235,13209.342765,4.526471,-7.124311,4.526471,34.823469,0.011933,198.945325,0.226862,0.219064,0.000105,0.374646,8.7e-05,0.160867,0.000217,-4.652137,0.000889,-0.653955,1,ESPRE.2021-12-26T01:42:48.857.fits
59574.57999120001,14822.590017,6.51,12.99,2.934223,13196.054408,5.868446,-14.285746,5.868446,34.842833,0.015495,199.952063,0.353793,0.219377,0.000152,0.374701,0.000125,0.161831,0.000339,-4.64821,0.001374,-0.65888,1,ESPRE.2021-12-26T01:50:25.143.fits
59574.585355250165,14837.737638,6.02,12.5,4.643673,13151.794476,9.287346,2.561609,9.287346,34.905347,0.024649,198.414758,0.759347,0.22102,0.000288,0.37549,0.000234,0.160359,0.000727,-4.654221,0.002989,-0.664241,1,ESPRE.2021-12-26T01:58:01.888.fits
59574.59054192016,14863.25203,5.55,12.03,5.719506,13136.078156,11.439013,-11.307069,11.439013,34.940526,0.030427,196.910084,1.047629,0.219426,0.000382,0.376589,0.000309,0.158918,0.001003,-4.660185,0.004181,-0.669533,1,ESPRE.2021-12-26T02:05:38.626.fits
59574.596336099785,14884.259497,5.02,11.5,5.210109,13106.787137,10.420218,-22.392846,10.420218,34.988125,0.027816,193.045072,0.910707,0.219097,0.000338,0.378227,0.000275,0.155216,0.000872,-4.675892,0.003769,-0.675563,1,ESPRE.2021-12-26T02:13:14.856.fits
