rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59816.72131884005,25511.723196,75.29,74.84,2.363733,7270.717071,4.727465,-48.78845,4.727465,57.619734,0.037465,350.141277,1.81504,0.269496,0.000431,0.240937,0.000311,0.305691,0.001739,-4.861961,0.00304,24.341565,1,ESPRE.2022-08-25T05:12:00.383.fits
59816.72445720993,25509.254842,72.77,72.31,2.101048,7260.156938,4.202096,-38.844722,4.202096,57.545986,0.033307,348.622797,1.455664,0.271423,0.000372,0.236593,0.000265,0.304236,0.001394,-4.864512,0.002452,24.337095,1,ESPRE.2022-08-25T05:16:29.329.fits
59816.72757823998,25512.350564,70.25,69.8,1.985883,7267.888067,3.971767,-39.482416,3.971767,57.52556,0.031437,349.027276,1.300777,0.271206,0.000345,0.239423,0.000246,0.304624,0.001246,-4.863831,0.002188,24.332507,1,ESPRE.2022-08-25T05:20:58.620.fits
59816.73070082022,25504.477417,67.74,67.28,1.880516,7265.857365,3.761032,-42.033852,3.761032,57.515757,0.029772,352.25114,1.170987,0.268367,0.000323,0.239063,0.000229,0.307712,0.001122,-4.858442,0.001945,24.327778,1,ESPRE.2022-08-25T05:25:27.202.fits
59816.73384111002,25503.502985,65.21,64.75,1.816033,7266.849233,3.632066,-38.106831,3.632066,57.520606,0.02875,356.194194,1.088759,0.269991,0.00031,0.23846,0.000218,0.311489,0.001043,-4.851941,0.001782,24.322884,1,ESPRE.2022-08-25T05:29:56.537.fits
59816.73692320008,25502.822465,62.73,62.27,1.752634,7269.833177,3.505267,-44.340744,3.505267,57.536124,0.027742,357.432491,1.015184,0.271556,0.000298,0.237066,0.000208,0.312675,0.000972,-4.849919,0.001654,24.317946,1,ESPRE.2022-08-25T05:34:25.820.fits
59816.74005910987,25499.814558,60.2,59.75,1.748414,7260.268917,3.496828,-35.235134,3.496828,57.53974,0.027713,359.328578,1.004856,0.270694,0.000297,0.237462,0.000208,0.314491,0.000963,-4.846842,0.001625,24.312787,1,ESPRE.2022-08-25T05:38:55.070.fits
59816.74315924989,25500.29603,57.7,57.25,1.688544,7260.997345,3.377087,-43.501077,3.377087,57.547768,0.026765,353.348195,0.933481,0.268662,0.000285,0.236836,0.000199,0.308763,0.000894,-4.856624,0.001544,24.307556,1,ESPRE.2022-08-25T05:43:24.153.fits
59816.74628025992,25493.521945,55.19,54.74,1.620051,7266.265541,3.240102,-35.240443,3.240102,57.531468,0.025654,349.89556,0.851806,0.269942,0.000272,0.235903,0.000188,0.305456,0.000816,-4.862373,0.001428,24.302159,1,ESPRE.2022-08-25T05:47:53.452.fits
59816.74932745006,25490.613919,52.73,52.28,1.678436,7258.235118,3.356872,-38.725312,3.356872,57.550822,0.026617,348.509142,0.910279,0.26908,0.000284,0.237519,0.000198,0.304128,0.000872,-4.864703,0.001534,24.296765,1,ESPRE.2022-08-25T05:52:22.515.fits
59816.75253476994,25491.359213,50.15,49.7,2.180113,7281.526772,4.360226,-45.97022,4.360226,57.454408,0.034404,347.56206,1.46989,0.268171,0.000396,0.239014,0.000281,0.30322,0.001408,-4.866302,0.002486,24.290958,1,ESPRE.2022-08-25T05:56:51.820.fits
59816.75564933987,25485.211921,47.64,47.19,2.008161,7271.664074,4.016321,-43.041455,4.016321,57.571584,0.031798,349.87276,1.260106,0.268352,0.000358,0.241354,0.000253,0.305434,0.001207,-4.862411,0.002112,24.285192,1,ESPRE.2022-08-25T06:01:21.158.fits
59816.758753850125,25484.654572,45.14,44.69,1.824168,7260.198887,3.648336,-43.908718,3.648336,57.586772,0.028938,347.865125,1.058849,0.265658,0.000317,0.23895,0.000222,0.303511,0.001014,-4.86579,0.001789,24.279322,1,ESPRE.2022-08-25T06:05:49.613.fits
59816.76186406007,25482.576997,42.64,42.18,1.762291,7265.501807,3.524582,-41.394022,3.524582,57.532525,0.02791,347.894407,0.982886,0.267376,0.000304,0.232871,0.00021,0.303539,0.000941,-4.86574,0.00166,24.273322,1,ESPRE.2022-08-25T06:10:19.473.fits
