rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59282.64532375988,-19713.799957,3.91,6.21,2.687885,8644.718925,5.375769,4.81656,5.375769,48.366791,0.030077,154.501576,0.813013,0.196948,0.000297,0.386913,0.000254,0.118297,0.000779,-4.900226,0.00527,22.704585,1,ESPRE.2021-03-09T03:19:57.008.fits
59282.64943401003,-19715.025649,3.78,6.08,2.476261,8642.649405,4.952522,7.671718,4.952522,48.370917,0.027718,160.638269,0.705709,0.195012,0.000267,0.385063,0.000229,0.124175,0.000676,-4.862162,0.004191,22.698912,1,ESPRE.2021-03-09T03:25:59.193.fits
59282.65357078984,-19713.366207,3.66,5.96,2.083694,8660.654306,4.167388,3.819733,4.167388,48.402106,0.02329,162.94479,0.527869,0.195531,0.000213,0.384739,0.000182,0.126384,0.000506,-4.848676,0.003039,22.692985,1,ESPRE.2021-03-09T03:31:58.748.fits
59282.65768786008,-19714.184106,3.53,5.83,1.920819,8656.18438,3.841637,12.56244,3.841637,48.376263,0.02147,160.558197,0.455135,0.195961,0.000192,0.387011,0.000164,0.124098,0.000436,-4.862638,0.002706,22.686874,1,ESPRE.2021-03-09T03:38:00.836.fits
59282.66200113017,-19715.321697,3.4,5.7,1.757719,8654.096021,3.515437,1.700327,3.515437,48.365069,0.019647,160.889011,0.388951,0.196045,0.00017,0.385621,0.000145,0.124415,0.000373,-4.860676,0.002302,22.680248,1,ESPRE.2021-03-09T03:44:02.952.fits
59282.66617213981,-19715.375315,3.27,5.57,2.03549,8662.279468,4.070981,-1.014634,4.070981,48.354808,0.022725,159.64272,0.491343,0.196086,0.000208,0.384613,0.000177,0.123221,0.000471,-4.868115,0.002958,22.673625,1,ESPRE.2021-03-09T03:50:02.810.fits
59282.67020526016,-19718.462777,3.15,5.45,1.855827,8654.183869,3.711653,9.740841,3.711653,48.357314,0.02074,161.891217,0.4213,0.195758,0.000184,0.385853,0.000157,0.125375,0.000404,-4.854784,0.00246,22.667024,1,ESPRE.2021-03-09T03:56:04.838.fits
59282.67436162988,-19715.576268,3.02,5.32,2.075442,8650.723476,4.150883,4.604344,4.150883,48.341344,0.023196,160.911487,0.505684,0.196061,0.000214,0.386947,0.000182,0.124436,0.000484,-4.860543,0.002992,22.660022,1,ESPRE.2021-03-09T04:02:07.034.fits
59282.6785299601,-19719.35977,2.89,5.19,2.032281,8650.765301,4.064562,14.306885,4.064562,48.341413,0.022713,159.004411,0.483395,0.197397,0.000209,0.384527,0.000177,0.12261,0.000463,-4.871975,0.002936,22.6528,1,ESPRE.2021-03-09T04:08:09.222.fits
59282.682885389775,-19717.407961,2.76,5.06,2.081045,8656.858433,4.16209,10.086316,4.16209,48.371329,0.023256,157.884411,0.505305,0.193518,0.000215,0.38667,0.000183,0.121537,0.000484,-4.878832,0.003118,22.645046,1,ESPRE.2021-03-09T04:14:09.180.fits
59282.68704915,-19723.087512,2.63,4.93,1.889042,8656.238041,3.778084,1.030319,3.778084,48.346502,0.021101,163.719601,0.426199,0.19622,0.00019,0.384535,0.000161,0.127126,0.000408,-4.844238,0.002429,22.637437,1,ESPRE.2021-03-09T04:20:11.380.fits
59282.691198050044,-19718.052158,2.5,4.8,1.888379,8644.896164,3.776757,8.810136,3.776757,48.379776,0.021136,162.557398,0.423987,0.196161,0.000191,0.386948,0.000161,0.126013,0.000406,-4.850912,0.002454,22.629671,1,ESPRE.2021-03-09T04:26:10.643.fits
59282.69527383009,-19715.720759,2.38,4.68,1.914295,8647.31937,3.82859,14.561731,3.82859,48.365619,0.021414,161.032452,0.430868,0.195128,0.000194,0.387361,0.000164,0.124552,0.000413,-4.859827,0.002545,22.621866,1,ESPRE.2021-03-09T04:32:12.766.fits
59282.69939314015,-19713.229998,2.25,4.55,1.822019,8643.851867,3.644039,6.3637,3.644039,48.426533,0.020415,160.088755,0.395675,0.196302,0.000183,0.386397,0.000154,0.123648,0.000379,-4.865438,0.002368,22.613804,1,ESPRE.2021-03-09T04:38:14.815.fits
