rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
58684.71543662995,-14757.999355,9.46,9.39,0.486415,8844.429642,0.972831,-14.359579,0.972831,48.55012,0.00534,166.809424,0.047055,0.192718,2.6e-05,0.380501,2.2e-05,0.130086,4.5e-05,-4.854424,0.000256,17.751876,1,ESPRE.2019-07-20T05:02:10.946.fits
58684.71817639982,-14756.713623,9.06,9.0,0.486887,8841.731771,0.973775,-15.828982,0.973775,48.562947,0.005348,167.38002,0.047257,0.192928,2.6e-05,0.380678,2.2e-05,0.130632,4.5e-05,-4.851331,0.000255,17.744878,1,ESPRE.2019-07-20T05:06:05.645.fits
58684.72090589022,-14755.960136,8.67,8.6,0.486689,8840.125124,0.973377,-16.541289,0.973377,48.546976,0.005345,166.720937,0.047168,0.193791,2.6e-05,0.380504,2.2e-05,0.130001,4.5e-05,-4.854906,0.000257,17.737853,1,ESPRE.2019-07-20T05:10:00.376.fits
58684.72361538978,-14755.214536,8.28,8.21,0.474419,8846.720709,0.948839,-17.214126,0.948839,48.526236,0.005205,167.770152,0.044868,0.193585,2.5e-05,0.380307,2.1e-05,0.131006,4.3e-05,-4.849229,0.000241,17.730828,1,ESPRE.2019-07-20T05:13:57.439.fits
58684.72633686988,-14757.579817,7.89,7.82,0.479417,8847.811825,0.958834,-21.094294,0.958834,48.515352,0.005258,167.120311,0.045592,0.19341,2.6e-05,0.380842,2.1e-05,0.130383,4.4e-05,-4.852736,0.000247,17.723722,1,ESPRE.2019-07-20T05:17:52.138.fits
58684.729057730176,-14758.134057,7.5,7.43,0.486037,8854.972044,0.972073,-24.338189,0.972073,48.489529,0.005323,167.940104,0.046613,0.193287,2.6e-05,0.380283,2.2e-05,0.131169,4.5e-05,-4.848316,0.00025,17.716571,1,ESPRE.2019-07-20T05:21:49.245.fits
58684.73183760978,-14761.152035,7.1,7.03,0.485399,8858.777306,0.970798,-25.282948,0.970798,48.466963,0.005311,167.682461,0.046406,0.193716,2.6e-05,0.380416,2.2e-05,0.130922,4.4e-05,-4.8497,0.00025,17.709217,1,ESPRE.2019-07-20T05:25:46.376.fits
58684.73457340989,-14760.439587,6.7,6.64,0.481807,8867.734888,0.963613,-25.164732,0.963613,48.431965,0.005263,167.661459,0.045571,0.193456,2.6e-05,0.380705,2.1e-05,0.130902,4.4e-05,-4.849813,0.000245,17.701935,1,ESPRE.2019-07-20T05:29:43.470.fits
58684.73728214996,-14765.314139,6.31,6.25,0.458629,8870.776698,0.917259,-26.253346,0.917259,48.411567,0.005006,167.778418,0.041414,0.193556,2.4e-05,0.381076,2e-05,0.131014,4e-05,-4.849184,0.000223,17.694683,1,ESPRE.2019-07-20T05:33:38.375.fits
58684.74003608991,-14768.38884,5.92,5.85,0.462645,8878.005606,0.925291,-26.820285,0.925291,48.382282,0.005043,167.856133,0.04203,0.193209,2.4e-05,0.381143,2e-05,0.131088,4e-05,-4.848767,0.000226,17.68727,1,ESPRE.2019-07-20T05:37:35.476.fits
