rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59437.53831506008,-2174.76025,48.11,47.99,0.323563,7477.005863,0.647126,-32.279851,0.647126,57.246647,0.004955,516.566455,0.122179,0.34936,2.7e-05,0.18211,1.7e-05,0.465102,0.000117,-4.545098,0.000124,-3.583302,1,ESPRE.2021-08-11T00:45:08.116.fits
59437.54226760985,-2177.035396,45.83,45.7,0.295833,7475.08307,0.591666,-31.580881,0.591666,57.238499,0.004531,517.318432,0.105361,0.350085,2.3e-05,0.181946,1.5e-05,0.465822,0.000101,-4.544336,0.000107,-3.592363,1,ESPRE.2021-08-11T00:51:07.338.fits
59437.546397769824,-2179.202617,43.45,43.32,0.322201,7474.116028,0.644402,-32.931664,0.644402,57.242054,0.004935,518.070345,0.120343,0.350829,2.7e-05,0.181935,1.7e-05,0.466542,0.000115,-4.543576,0.000122,-3.601989,1,ESPRE.2021-08-11T00:57:07.347.fits
59437.55074374005,-2181.89504,40.94,40.81,0.344331,7474.71702,0.688661,-32.177716,0.688661,57.256935,0.005275,518.546523,0.133064,0.350409,2.9e-05,0.181665,1.9e-05,0.466999,0.000127,-4.543095,0.000134,-3.612286,1,ESPRE.2021-08-11T01:03:09.477.fits
59437.554865359794,-2183.792252,38.56,38.43,0.331412,7475.447079,0.662824,-32.909677,0.662824,57.246594,0.005076,517.067939,0.125193,0.348935,2.8e-05,0.181384,1.8e-05,0.465582,0.00012,-4.54459,0.000127,-3.622206,1,ESPRE.2021-08-11T01:09:08.919.fits
59437.55902558984,-2186.348662,36.15,36.03,0.322442,7473.743511,0.644883,-31.789973,0.644883,57.255352,0.00494,516.190108,0.118243,0.349151,2.7e-05,0.181718,1.7e-05,0.464741,0.000113,-4.54548,0.00012,-3.632364,1,ESPRE.2021-08-11T01:15:11.028.fits
59437.56317690015,-2188.826982,33.76,33.63,0.326969,7475.488339,0.653938,-31.873302,0.653938,57.249776,0.005008,516.620539,0.120176,0.349869,2.7e-05,0.181503,1.7e-05,0.465154,0.000115,-4.545043,0.000122,-3.642641,1,ESPRE.2021-08-11T01:21:13.130.fits
59437.56747541018,-2191.072047,31.27,31.15,0.348832,7476.050993,0.697663,-32.843806,0.697663,57.251096,0.005343,516.824752,0.133299,0.349498,3e-05,0.181552,1.9e-05,0.465349,0.000128,-4.544836,0.000135,-3.653423,1,ESPRE.2021-08-11T01:27:15.262.fits
59437.5715736798,-2193.349033,28.91,28.78,0.317664,7475.277669,0.635329,-32.097511,0.635329,57.25426,0.004866,517.020732,0.1141,0.350104,2.6e-05,0.181506,1.7e-05,0.465537,0.000109,-4.544638,0.000116,-3.663831,1,ESPRE.2021-08-11T01:33:17.472.fits
59437.575743400026,-2195.621149,26.5,26.37,0.31285,7475.753554,0.625699,-31.61451,0.625699,57.234747,0.00479,516.469289,0.110198,0.349294,2.6e-05,0.181619,1.6e-05,0.465009,0.000106,-4.545197,0.000112,-3.674542,1,ESPRE.2021-08-11T01:39:17.063.fits
59437.57994234003,-2197.767303,24.07,23.95,0.295896,7476.408131,0.591791,-32.022355,0.591791,57.239242,0.004531,516.468446,0.100312,0.34945,2.4e-05,0.18171,1.5e-05,0.465008,9.6e-05,-4.545197,0.000102,-3.685445,1,ESPRE.2021-08-11T01:45:19.180.fits
59437.58415905014,-2201.127153,21.64,21.51,0.280687,7476.090844,0.561373,-32.498241,0.561373,57.230843,0.004297,515.435434,0.091202,0.348516,2.2e-05,0.181798,1.4e-05,0.464019,8.7e-05,-4.546246,9.3e-05,-3.696507,1,ESPRE.2021-08-11T01:51:18.608.fits
59437.5882519302,-2201.279943,19.27,19.15,0.302672,7475.838263,0.605345,-31.320247,0.605345,57.257595,0.004636,514.025013,0.103038,0.346639,2.5e-05,0.18158,1.6e-05,0.462668,9.9e-05,-4.547683,0.000105,-3.707346,1,ESPRE.2021-08-11T01:57:18.180.fits
59437.59238235978,-2195.2729,16.89,16.76,0.327614,7469.188065,0.655228,-31.539575,0.655228,57.316828,0.005028,510.314701,0.117655,0.346467,2.8e-05,0.181492,1.8e-05,0.459114,0.000113,-4.551484,0.000121,-3.718378,1,ESPRE.2021-08-11T02:03:20.368.fits
59437.59664548002,-2185.228164,14.43,14.3,0.322123,7463.515108,0.644246,-31.349283,0.644246,57.35665,0.004951,509.549215,0.114905,0.345475,2.7e-05,0.180907,1.7e-05,0.45838,0.00011,-4.552272,0.000118,-3.729858,1,ESPRE.2021-08-11T02:09:19.508.fits
59437.60072909016,-2178.308568,12.07,11.94,0.336854,7462.909538,0.673709,-32.616029,0.673709,57.365768,0.005179,506.130504,0.123181,0.34471,2.9e-05,0.180637,1.8e-05,0.455106,0.000118,-4.55581,0.000128,-3.740936,1,ESPRE.2021-08-11T02:15:19.062.fits
59437.60487713013,-2177.152979,9.67,9.55,0.345407,7470.922085,0.690814,-35.458527,0.690814,57.294945,0.005298,509.14554,0.127339,0.345859,3e-05,0.180581,1.9e-05,0.457994,0.000122,-4.552688,0.000131,-3.752264,1,ESPRE.2021-08-11T02:21:18.097.fits
59437.60922616022,-2182.411563,7.16,7.03,0.294604,7483.925475,0.589208,-39.141633,0.589208,57.19084,0.004503,514.663114,0.097487,0.346728,2.4e-05,0.180959,1.5e-05,0.463279,9.3e-05,-4.547032,9.9e-05,-3.764216,1,ESPRE.2021-08-11T02:27:17.370.fits
59437.61328089005,-2189.79602,4.82,4.69,0.286107,7497.617386,0.572215,-38.200831,0.572215,57.106427,0.004358,516.777523,0.091908,0.346878,2.3e-05,0.181382,1.4e-05,0.465304,8.8e-05,-4.544884,9.3e-05,-3.775421,1,ESPRE.2021-08-11T02:33:16.597.fits
59437.617449339945,-2201.936732,2.41,2.28,0.276212,7506.089312,0.552423,-37.63521,0.552423,57.049306,0.004199,516.173369,0.08664,0.346594,2.1e-05,0.181346,1.4e-05,0.464725,8.3e-05,-4.545497,8.8e-05,-3.786996,1,ESPRE.2021-08-11T02:39:18.803.fits
59437.62156753987,-2214.30312,0.03,-0.09,0.278973,7511.419513,0.557946,-33.20703,0.557946,56.999718,0.004234,520.025759,0.087735,0.348413,2.2e-05,0.181642,1.4e-05,0.468415,8.4e-05,-4.541605,8.8e-05,-3.798479,1,ESPRE.2021-08-11T02:45:18.607.fits
59437.62576280022,-2227.229627,-2.39,-2.52,0.290173,7511.274729,0.580346,-30.310353,0.580346,57.003148,0.004404,520.192545,0.093438,0.347841,2.3e-05,0.181822,1.5e-05,0.468575,8.9e-05,-4.541437,9.4e-05,-3.81022,1,ESPRE.2021-08-11T02:51:20.769.fits
59437.6300129001,-2240.086594,-4.84,-4.97,0.286531,7507.418132,0.573062,-26.21246,0.573062,57.025229,0.004353,520.694195,0.091531,0.347904,2.3e-05,0.181675,1.4e-05,0.469056,8.8e-05,-4.540933,9.2e-05,-3.822151,1,ESPRE.2021-08-11T02:57:20.533.fits
59437.63414390991,-2253.654162,-7.23,-7.36,0.273685,7500.929706,0.547371,-23.545584,0.547371,57.065503,0.004164,520.884181,0.084622,0.348777,2.1e-05,0.181858,1.3e-05,0.469238,8.1e-05,-4.540742,8.5e-05,-3.833776,1,ESPRE.2021-08-11T03:03:22.607.fits
59437.63828364015,-2263.133994,-9.62,-9.75,0.281052,7491.170037,0.562103,-22.495704,0.562103,57.152275,0.004288,520.144408,0.088857,0.348717,2.2e-05,0.182031,1.4e-05,0.468529,8.5e-05,-4.541485,8.9e-05,-3.845446,1,ESPRE.2021-08-11T03:09:22.101.fits
59437.64250206994,-2269.913998,-12.06,-12.18,0.283833,7478.394204,0.567667,-21.423982,0.567667,57.238026,0.004345,516.891232,0.090951,0.34779,2.3e-05,0.182,1.4e-05,0.465413,8.7e-05,-4.544769,9.2e-05,-3.857353,1,ESPRE.2021-08-11T03:15:24.258.fits
59437.64665907016,-2271.301196,-14.46,-14.58,0.276674,7469.440985,0.553348,-25.601204,0.553348,57.318219,0.004246,514.992999,0.086893,0.347247,2.2e-05,0.181727,1.4e-05,0.463595,8.3e-05,-4.546696,8.8e-05,-3.869093,1,ESPRE.2021-08-11T03:21:23.890.fits
59437.65084057022,-2265.196984,-16.87,-17.0,0.276917,7466.706111,0.553835,-29.249998,0.553835,57.344354,0.004253,514.19127,0.087185,0.346054,2.2e-05,0.181939,1.4e-05,0.462827,8.4e-05,-4.547513,8.9e-05,-3.880903,1,ESPRE.2021-08-11T03:27:23.534.fits
59437.65498419991,-2256.048275,-19.26,-19.39,0.271804,7469.475942,0.543609,-30.814734,0.543609,57.307909,0.004171,514.766935,0.084388,0.345334,2.1e-05,0.182425,1.3e-05,0.463378,8.1e-05,-4.546926,8.6e-05,-3.892599,1,ESPRE.2021-08-11T03:33:23.219.fits
59437.65918490989,-2248.439286,-21.69,-21.82,0.26689,7476.648078,0.533781,-30.071921,0.533781,57.254297,0.004088,514.258911,0.081638,0.345962,2.1e-05,0.18275,1.3e-05,0.462892,7.8e-05,-4.547444,8.3e-05,-3.904441,1,ESPRE.2021-08-11T03:39:22.784.fits
59437.66327544022,-2246.094327,-24.05,-24.18,0.279667,7478.505067,0.559335,-30.671531,0.559335,57.221104,0.00428,513.936226,0.088058,0.345669,2.2e-05,0.18271,1.4e-05,0.462583,8.4e-05,-4.547773,9e-05,-3.915953,1,ESPRE.2021-08-11T03:45:22.093.fits
59437.667449030094,-2249.526016,-26.46,-26.59,0.285446,7479.176744,0.570892,-31.79179,0.570892,57.230396,0.004368,512.949085,0.091085,0.345286,2.3e-05,0.182857,1.4e-05,0.461637,8.7e-05,-4.548781,9.3e-05,-3.92767,1,ESPRE.2021-08-11T03:51:21.598.fits
59437.67166381981,-2251.595616,-28.9,-29.02,0.294857,7478.447558,0.589714,-31.057915,0.589714,57.236012,0.004513,512.917226,0.096509,0.345334,2.4e-05,0.182708,1.5e-05,0.461607,9.2e-05,-4.548814,9.9e-05,-3.939467,1,ESPRE.2021-08-11T03:57:21.598.fits
59437.67588783009,-2254.003804,-31.34,-31.46,0.301051,7477.438759,0.602102,-31.077841,0.602102,57.239842,0.004609,511.822842,0.100115,0.345062,2.5e-05,0.182731,1.6e-05,0.460558,9.6e-05,-4.549935,0.000103,-3.951247,1,ESPRE.2021-08-11T04:03:20.918.fits
59437.67990555987,-2255.958174,-33.66,-33.78,0.298386,7479.428679,0.596773,-29.957274,0.596773,57.227672,0.004566,514.113527,0.098649,0.344886,2.4e-05,0.182619,1.5e-05,0.462752,9.4e-05,-4.547592,0.000101,-3.962404,1,ESPRE.2021-08-11T04:09:20.370.fits
59437.684256230015,-2259.54818,-36.17,-36.3,0.299003,7478.751486,0.598005,-30.248807,0.598005,57.232155,0.004576,513.059112,0.098963,0.345419,2.4e-05,0.182929,1.5e-05,0.461742,9.5e-05,-4.548669,0.000101,-3.974428,1,ESPRE.2021-08-11T04:15:22.590.fits
59437.68835265003,-2261.475309,-38.53,-38.66,0.301605,7480.141125,0.60321,-29.575802,0.60321,57.23396,0.004615,513.811231,0.100557,0.344944,2.5e-05,0.18286,1.6e-05,0.462463,9.6e-05,-4.547901,0.000103,-3.985686,1,ESPRE.2021-08-11T04:21:22.562.fits
59437.69252524013,-2263.055902,-40.94,-41.07,0.347898,7478.935521,0.695796,-29.605709,0.695796,57.246552,0.005326,513.893258,0.126361,0.345612,3e-05,0.182896,1.9e-05,0.462541,0.000121,-4.547817,0.000129,-3.997084,1,ESPRE.2021-08-11T04:27:22.204.fits
