rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59215.61640023999,23494.135452,0.38,-0.95,2.323112,9544.4123,4.646224,-21.441899,4.646224,49.607662,0.024149,169.920741,0.803024,0.196006,0.000223,0.317157,0.000186,0.133066,0.000769,-4.847292,0.004197,21.14838,1,ESPRE.2021-01-01T02:41:31.734.fits
59215.6183517701,23499.805177,0.37,-0.96,2.311543,9540.435427,4.623085,-15.826589,4.623085,49.605649,0.024038,174.192051,0.78504,0.194217,0.000222,0.317738,0.000186,0.137157,0.000752,-4.825522,0.003902,21.14651,1,ESPRE.2021-01-01T02:44:13.874.fits
59215.6202358501,23490.137682,0.37,-0.96,2.579198,9552.77636,5.158396,-17.722302,5.158396,49.586956,0.026776,174.397061,0.937485,0.194375,0.000256,0.318862,0.000215,0.137354,0.000898,-4.824504,0.004649,21.14465,1,ESPRE.2021-01-01T02:46:55.930.fits
59215.622099869885,23494.991595,0.36,-0.97,2.763899,9535.204395,5.527797,-18.292173,5.527797,49.62843,0.028771,176.377861,1.061096,0.19406,0.00028,0.31973,0.000236,0.139251,0.001016,-4.81479,0.005146,21.142758,1,ESPRE.2021-01-01T02:49:37.930.fits
59215.624006140046,23492.142206,0.36,-0.97,2.809367,9544.627962,5.618735,-11.605255,5.618735,49.610878,0.029205,175.276166,1.073369,0.196557,0.000287,0.317498,0.000241,0.138196,0.001028,-4.820166,0.00527,21.140769,1,ESPRE.2021-01-01T02:52:19.930.fits
59215.625839029904,23489.833658,0.35,-0.98,2.696112,9551.900154,5.392224,-14.438787,5.392224,49.654073,0.028031,172.162179,1.008909,0.191873,0.00027,0.318926,0.000229,0.135213,0.000966,-4.835732,0.005135,21.138806,1,ESPRE.2021-01-01T02:55:02.126.fits
59215.62773405993,23494.070852,0.35,-0.98,2.445267,9528.122262,4.890535,-26.884271,4.890535,49.626239,0.025472,172.126392,0.855274,0.193598,0.000239,0.319869,0.000201,0.135179,0.000819,-4.835914,0.004355,21.136724,1,ESPRE.2021-01-01T02:57:44.221.fits
59215.6296159802,23500.894916,0.34,-0.99,2.298813,9543.823443,4.597625,-11.651186,4.597625,49.581754,0.023885,176.319441,0.769576,0.194848,0.00022,0.322114,0.000185,0.139195,0.000737,-4.815073,0.003735,21.134605,1,ESPRE.2021-01-01T03:00:26.299.fits
59215.63144802023,23493.880587,0.34,-0.99,2.24744,9542.617392,4.49488,-19.730538,4.49488,49.653187,0.023388,167.57933,0.733132,0.19489,0.000215,0.320166,0.00018,0.130823,0.000702,-4.859705,0.003943,21.132491,1,ESPRE.2021-01-01T03:03:08.380.fits
59215.63335487992,23498.819051,0.33,-1.0,2.070823,9533.743295,4.141646,-24.103133,4.141646,49.617014,0.021555,170.970561,0.62777,0.192653,0.000193,0.319639,0.000162,0.134071,0.000601,-4.841839,0.00324,21.13024,1,ESPRE.2021-01-01T03:05:50.445.fits
