rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59215.61640023999,23494.135452,0.38,9544.4123,-21.441899,49.607662,169.920741,0.196006,0.317157,0.133066,-4.847292
59215.6183517701,23499.805177,0.37,9540.435427,-15.826589,49.605649,174.192051,0.194217,0.317738,0.137157,-4.825522
59215.6202358501,23490.137682,0.37,9552.77636,-17.722302,49.586956,174.397061,0.194375,0.318862,0.137354,-4.824504
59215.622099869885,23494.991595,0.36,9535.204395,-18.292173,49.62843,176.377861,0.19406,0.31973,0.139251,-4.81479
59215.624006140046,23492.142206,0.36,9544.627962,-11.605255,49.610878,175.276166,0.196557,0.317498,0.138196,-4.820166
59215.625839029904,23489.833658,0.35,9551.900154,-14.438787,49.654073,172.162179,0.191873,0.318926,0.135213,-4.835732
59215.62773405993,23494.070852,0.35,9528.122262,-26.884271,49.626239,172.126392,0.193598,0.319869,0.135179,-4.835914
59215.6296159802,23500.894916,0.34,9543.823443,-11.651186,49.581754,176.319441,0.194848,0.322114,0.139195,-4.815073
59215.63144802023,23493.880587,0.34,9542.617392,-19.730538,49.653187,167.57933,0.19489,0.320166,0.130823,-4.859705
59215.63335487992,23498.819051,0.33,9533.743295,-24.103133,49.617014,170.970561,0.192653,0.319639,0.134071,-4.841839
59215.635234650224,23491.733531,0.33,9536.514496,-17.805348,49.638994,171.606817,0.194306,0.318462,0.134681,-4.838567
59215.63709429,23494.707646,0.32,9530.603402,-13.113146,49.602159,172.493831,0.193785,0.319734,0.13553,-4.834047
59215.63898392022,23495.613056,0.32,9522.400608,-13.271213,49.633178,180.859791,0.19338,0.320559,0.143544,-4.79358
59215.64086209983,23490.79234,0.31,9540.330526,-15.901584,49.614607,174.348142,0.195526,0.320765,0.137307,-4.824747
59215.64272443019,23502.199292,0.31,9544.978794,-21.357368,49.642437,174.293997,0.197013,0.319972,0.137255,-4.825015
59215.64459868986,23493.476767,0.3,9535.703189,-24.285702,49.595702,170.599524,0.195529,0.320644,0.133716,-4.843758
59215.646449239925,23499.037712,0.3,9540.457357,-20.430655,49.632239,171.304434,0.196385,0.322039,0.134391,-4.840119
59215.64831135981,23498.215265,0.29,9543.472602,-19.773981,49.58754,172.076845,0.19255,0.32013,0.135131,-4.836166
59215.65019020997,23497.305624,0.28,9537.553992,-16.174902,49.653714,174.785335,0.196242,0.321575,0.137725,-4.822583
59215.65207719989,23493.957274,0.28,9551.820079,-9.802546,49.605609,165.682949,0.194634,0.322995,0.129007,-4.870026
59215.65393181984,23496.309532,0.27,9531.352508,-21.317449,49.640562,172.400584,0.195528,0.321883,0.135441,-4.83452
59215.65581140015,23498.608454,0.27,9524.17496,-16.848497,49.634047,175.399062,0.195884,0.322451,0.138313,-4.819563
59215.65768422,23498.525353,0.26,9540.406834,-17.590013,49.595783,175.06086,0.194864,0.323242,0.137989,-4.821224
59215.65956389019,23496.990088,0.26,9538.429197,-11.83554,49.614301,175.72432,0.195566,0.322786,0.138625,-4.817971
59215.66144071007,23498.092191,0.25,9529.707273,-18.531209,49.636848,173.629887,0.196367,0.32239,0.136619,-4.828326
