rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59264.59823141014,23507.218946,0.73,9523.54398,-14.080011,49.661668,170.489404,0.195186,0.342988,0.133611,-4.84433
59264.60010001995,23507.250914,0.72,9512.13458,-13.561585,49.681032,174.196159,0.193679,0.342991,0.137161,-4.825502
59264.60193559015,23506.322919,0.71,9530.562878,-14.766767,49.656616,175.958244,0.193399,0.342377,0.138849,-4.81683
59264.603869120125,23508.035131,0.7,9520.393228,-14.459743,49.687982,175.356377,0.193633,0.341311,0.138272,-4.819772
59264.60570502002,23506.680885,0.68,9517.233652,-21.464382,49.692975,174.010275,0.193454,0.342585,0.136983,-4.826427
59264.60759346001,23503.782242,0.67,9522.896409,-17.745461,49.670164,175.332975,0.193559,0.34356,0.13825,-4.819887
59264.609449519776,23508.105581,0.66,9532.047814,-21.054634,49.642096,174.513125,0.194881,0.343982,0.137465,-4.823929
59264.61133887013,23506.142595,0.65,9527.587561,-19.710054,49.638985,176.150251,0.193698,0.342411,0.139033,-4.815895
59264.61321731983,23506.67703,0.64,9526.88143,-11.069401,49.630373,174.805012,0.194892,0.341308,0.137744,-4.822486
59264.61505512986,23508.560584,0.63,9521.301944,-23.544474,49.65148,173.69715,0.194082,0.341705,0.136683,-4.827989
59264.61691096984,23506.906907,0.62,9538.797604,-18.120792,49.629357,174.615989,0.194048,0.343205,0.137563,-4.82342
59264.618795949966,23510.468522,0.61,9520.762178,-13.821473,49.66537,175.903395,0.197503,0.343546,0.138796,-4.817097
59264.62066031992,23503.901078,0.6,9521.449533,-15.09866,49.686195,176.351957,0.196495,0.340536,0.139226,-4.814915
59264.62251335988,23506.761496,0.59,9525.654958,-26.041404,49.628307,177.006439,0.195141,0.342518,0.139853,-4.811752
59264.62440724019,23508.529508,0.58,9509.999932,-12.378604,49.684587,174.988592,0.19512,0.342875,0.13792,-4.82158
59264.62627709983,23507.797505,0.57,9523.750676,-22.577654,49.668149,177.004271,0.194759,0.343032,0.139851,-4.811762
59264.628144369926,23503.720074,0.56,9520.178982,-24.018221,49.635922,175.246117,0.193397,0.34241,0.138167,-4.820313
59264.6300289901,23510.538479,0.55,9528.636554,-18.919969,49.662024,175.779256,0.196453,0.343099,0.138677,-4.817703
59264.63189252,23506.277586,0.54,9517.855612,-20.696322,49.670328,177.427672,0.194451,0.341974,0.140256,-4.809728
59264.63378993003,23504.770697,0.53,9518.147969,-21.125266,49.653681,175.554332,0.194701,0.341238,0.138462,-4.818802
59264.63567493996,23509.913807,0.52,9522.03879,-22.392093,49.671247,175.407633,0.193775,0.342639,0.138321,-4.819521
59264.63753208006,23512.125051,0.51,9527.23407,-17.032205,49.678179,173.934995,0.196603,0.344683,0.136911,-4.826802
59264.639416249935,23508.776244,0.49,9524.954662,-19.143418,49.653559,172.573212,0.194412,0.342408,0.135607,-4.833645
59264.64126425004,23506.213214,0.48,9533.3495,-16.208225,49.628601,175.35705,0.193719,0.341102,0.138273,-4.819769
59264.64311457984,23505.634353,0.47,9535.247237,-24.763359,49.639871,176.801155,0.193591,0.342694,0.139656,-4.812742
59264.64498919994,23508.542419,0.46,9521.495933,-22.015168,49.626153,175.794883,0.19453,0.343042,0.138692,-4.817626
59264.64687285992,23507.11939,0.45,9525.101724,-12.27656,49.621978,179.439375,0.19397,0.342513,0.142183,-4.80019
59264.6487471899,23504.71002,0.44,9523.463231,-22.659286,49.698013,174.894933,0.192821,0.343486,0.13783,-4.822042
59264.65062128985,23511.557194,0.43,9520.26713,-17.951802,49.632705,174.445892,0.195307,0.342748,0.1374,-4.824262
59264.65249757003,23505.017984,0.42,9512.143437,-16.662536,49.66256,174.673524,0.194438,0.342838,0.137618,-4.823135
59264.65436396981,23507.704608,0.41,9524.534044,-22.723717,49.660759,176.614417,0.19457,0.34144,0.139477,-4.813644
59264.65624740999,23507.265558,0.4,9530.693112,-19.354329,49.639869,176.126624,0.19462,0.342123,0.13901,-4.81601
59264.65811792016,23509.028184,0.39,9523.882387,-17.592729,49.662634,176.143914,0.193185,0.341704,0.139027,-4.815926
59264.65998846991,23511.552241,0.38,9521.904837,-17.71214,49.660984,174.58329,0.193976,0.341889,0.137532,-4.823581
59264.66187926009,23510.763044,0.37,9521.644256,-16.863985,49.717437,177.576635,0.19432,0.342312,0.140399,-4.809015
59264.66375485994,23516.281973,0.36,9511.82358,-17.667364,49.71771,176.096741,0.194652,0.341185,0.138982,-4.816155
59264.665623909794,23510.653264,0.35,9513.372608,-13.136813,49.725625,175.094215,0.193147,0.341634,0.138021,-4.82106
59264.66749966005,23516.955315,0.34,9518.44261,-13.03804,49.7043,175.48877,0.195625,0.342305,0.138399,-4.819123
59264.6693437798,23518.992446,0.33,9515.445867,-8.793322,49.68269,178.632142,0.194489,0.344587,0.14141,-4.803992
59264.6712346999,23514.651556,0.32,9520.170812,-12.731315,49.68462,175.20853,0.195814,0.343252,0.138131,-4.820498
59264.67311589001,23519.819463,0.3,9512.694505,-19.032193,49.704878,176.954404,0.193345,0.341209,0.139803,-4.812003
59264.67499632994,23514.812514,0.29,9516.263296,-22.800912,49.662208,175.966487,0.193502,0.341607,0.138857,-4.816789
59264.676836689934,23516.288514,0.28,9515.101825,-14.674606,49.724854,175.264299,0.194392,0.342124,0.138184,-4.820224
59264.67870758986,23516.47101,0.27,9515.345196,-16.989386,49.717471,176.179061,0.195943,0.341687,0.13906,-4.815755
59264.68054973008,23516.578244,0.26,9518.463887,-19.788201,49.657839,175.141352,0.194841,0.342448,0.138066,-4.820828
59264.682433490176,23517.91554,0.25,9516.733104,-18.706935,49.698402,176.627337,0.195268,0.341984,0.13949,-4.813582
59264.68432299979,23513.900493,0.24,9520.254395,-23.290923,49.68991,176.231153,0.194292,0.342327,0.13911,-4.815502
59264.68616930023,23515.451289,0.23,9521.471123,-13.951645,49.686649,175.523383,0.195752,0.341129,0.138432,-4.818954
59264.68802853022,23517.708851,0.22,9526.860836,-22.354914,49.661127,176.526985,0.193599,0.340506,0.139394,-4.814067
59264.68986786995,23514.710716,0.21,9515.845104,-17.746013,49.66351,176.792496,0.195042,0.340908,0.139648,-4.812784
59264.69174407981,23515.803026,0.2,9521.276717,-16.766569,49.670548,175.214297,0.19492,0.340296,0.138136,-4.82047
59264.69361332012,23513.377071,0.19,9526.347364,-21.474889,49.656025,174.566837,0.196616,0.342595,0.137516,-4.823663
59264.69546674006,23517.412619,0.18,9526.604061,-22.093582,49.665353,175.786723,0.195781,0.34097,0.138685,-4.817666
59264.697344630025,23515.742152,0.17,9525.146802,-25.887299,49.654057,175.116477,0.195992,0.340203,0.138043,-4.820951
59264.69922266016,23518.715268,0.16,9518.569397,-20.999759,49.670929,176.031485,0.194349,0.340275,0.138919,-4.816473
59264.70110032987,23513.785211,0.15,9527.624547,-27.164261,49.684453,175.265175,0.194774,0.341418,0.138185,-4.82022
59264.70295595983,23513.674171,0.14,9517.861595,-24.104729,49.671941,176.182432,0.194494,0.340118,0.139064,-4.815739
59264.70477480022,23514.198424,0.13,9536.086433,-21.744275,49.621596,176.946708,0.195326,0.339395,0.139796,-4.81204
59264.70665648021,23509.167385,0.12,9530.035523,-24.898246,49.666036,176.252399,0.194091,0.339411,0.139131,-4.815399
59264.70854153018,23510.847693,0.1,9532.364627,-23.150928,49.644431,176.404947,0.195657,0.339574,0.139277,-4.814658
59264.7103892602,23513.998461,0.09,9525.66929,-18.965325,49.656824,173.653739,0.195936,0.342455,0.136642,-4.828206
59264.7122506802,23510.234949,0.08,9540.507911,-21.213123,49.622702,172.840966,0.195158,0.34006,0.135863,-4.832291
59264.71413333016,23511.397365,0.07,9523.37393,-25.7435,49.659475,175.977279,0.196903,0.342338,0.138867,-4.816737
59264.7160167899,23508.475411,0.06,9531.726523,-23.871526,49.627015,176.509685,0.196494,0.34128,0.139377,-4.814151
59264.71789798001,23510.442362,0.05,9532.119956,-17.758874,49.602865,175.963981,0.195184,0.341634,0.138854,-4.816802
59264.7197438702,23508.322349,0.04,9537.919265,-22.230607,49.589727,175.038363,0.195353,0.340331,0.137968,-4.821335
59264.72160515003,23510.415827,0.03,9523.908447,-17.760529,49.617047,176.814177,0.194828,0.340536,0.139669,-4.812679
59264.723459220026,23507.081113,0.02,9544.30289,-20.290496,49.592506,175.62131,0.195649,0.340639,0.138526,-4.818474
59264.72530591022,23508.107209,0.01,9533.03626,-19.504343,49.625726,178.508799,0.196354,0.33938,0.141292,-4.804576
59264.72712633992,23507.276724,0.0,9542.136368,-18.638142,49.601467,177.715724,0.195456,0.340578,0.140532,-4.80835
59264.72900477005,23506.876977,-0.01,9537.483581,-11.488608,49.628353,175.111207,0.193818,0.340878,0.138038,-4.820977
59264.73089317,23505.337824,-0.02,9531.631712,-18.13791,49.616009,176.441955,0.196944,0.339974,0.139312,-4.814479
59264.73274203017,23506.021154,-0.03,9535.288506,-17.584204,49.615139,176.151358,0.194011,0.340192,0.139034,-4.81589
59264.73461779021,23501.630035,-0.04,9533.210653,-19.017166,49.595929,174.399215,0.195182,0.341245,0.137356,-4.824493
59264.73644971009,23501.211061,-0.05,9540.949627,-23.460023,49.585061,176.147232,0.195284,0.340682,0.13903,-4.81591
59264.73834645981,23503.033641,-0.06,9531.590279,-12.930963,49.600953,175.04137,0.195752,0.341668,0.137971,-4.82132
59264.740199860185,23503.644493,-0.07,9530.372641,-27.376722,49.614793,174.7711,0.194066,0.341315,0.137712,-4.822653
59264.74208437977,23503.045022,-0.08,9544.308361,-21.337094,49.627166,173.89449,0.195715,0.340452,0.136872,-4.827004
59264.74397445982,23501.970668,-0.09,9531.584586,-13.309886,49.616806,173.728722,0.194995,0.342559,0.136713,-4.827831
59264.74583860999,23500.385782,-0.11,9538.96977,-19.129239,49.591224,175.66178,0.193324,0.340839,0.138565,-4.818277
59264.74768914003,23499.389941,-0.12,9536.663831,-16.80813,49.624289,176.588927,0.19285,0.341462,0.139453,-4.813767
59264.74955904996,23499.744982,-0.13,9525.751682,-17.713634,49.622331,174.885991,0.193391,0.340753,0.137822,-4.822086
59264.75140791014,23503.935524,-0.14,9534.785284,-17.901008,49.625149,175.3864,0.194639,0.34096,0.138301,-4.819625
59264.75327458978,23496.911237,-0.15,9513.180574,-12.265768,49.680369,175.607153,0.195044,0.342256,0.138513,-4.818544
59264.75515305018,23501.866211,-0.16,9532.169,-12.267803,49.648077,174.901277,0.195203,0.341149,0.137836,-4.822011
59264.75697461981,23496.742144,-0.17,9533.733066,-22.690426,49.627293,175.103543,0.194762,0.339646,0.13803,-4.821014
59264.75884378981,23495.940282,-0.18,9530.237566,-15.725891,49.672383,175.304268,0.195325,0.340254,0.138222,-4.820028
59264.76073493995,23496.501288,-0.19,9526.922778,-16.910561,49.63799,176.526081,0.194919,0.340621,0.139393,-4.814072
59264.76264298009,23495.755788,-0.2,9521.921774,-16.083456,49.643814,174.63811,0.194235,0.340926,0.137584,-4.82331
59264.76444998011,23495.500182,-0.21,9528.941546,-16.761094,49.696374,175.428943,0.195597,0.339043,0.138342,-4.819416
59264.7663296801,23495.894332,-0.22,9524.94293,-15.493632,49.653892,175.555799,0.194111,0.338043,0.138463,-4.818795
59264.768199529964,23496.337057,-0.23,9519.762866,-13.982833,49.663494,174.366601,0.195218,0.340369,0.137324,-4.824655
59264.76999658998,23497.452984,-0.24,9523.71409,-24.734492,49.692178,174.898637,0.196768,0.338544,0.137834,-4.822024
59264.77190120984,23495.937866,-0.25,9531.811979,-12.69496,49.644532,174.204254,0.1937,0.340546,0.137169,-4.825461
59264.77381268004,23496.77836,-0.26,9522.28142,-18.805428,49.696304,178.339065,0.191945,0.340286,0.141129,-4.805381
59264.77564819995,23490.605562,-0.27,9523.155809,-18.539096,49.657998,175.17847,0.194734,0.340264,0.138102,-4.820646
59264.77756532002,23494.752864,-0.28,9528.408275,-14.514255,49.689801,176.165227,0.193574,0.34078,0.139047,-4.815822
59264.77940686978,23494.098203,-0.29,9526.126748,-14.257794,49.679964,175.18499,0.193753,0.339849,0.138108,-4.820614
59264.78128576977,23494.165686,-0.31,9516.818441,-27.371831,49.706256,176.212738,0.194146,0.340433,0.139093,-4.815591
59264.78316716012,23496.180852,-0.32,9521.457926,-13.043778,49.739163,174.162238,0.196474,0.340393,0.137129,-4.82567
59264.785023970064,23503.48212,-0.33,9523.986891,-23.998111,49.659271,173.489165,0.1957,0.34024,0.136484,-4.82903
59264.78691586992,23492.658321,-0.34,9512.883944,-12.821271,49.716214,174.426475,0.192084,0.339404,0.137382,-4.824358
59264.78879238013,23499.08332,-0.35,9518.08348,-23.665986,49.676481,169.527267,0.194845,0.340956,0.132689,-4.849353
59264.79063954996,23493.329625,-0.36,9509.693746,-29.430675,49.681184,172.587758,0.191067,0.339479,0.13562,-4.833571
59264.79250385985,23491.702708,-0.37,9516.921746,-16.871861,49.641852,173.370284,0.194339,0.339157,0.13637,-4.829626
59264.79439713014,23493.605006,-0.38,9513.911557,-27.974954,49.738894,174.099954,0.192889,0.339466,0.137069,-4.82598
59264.79626308009,23496.342766,-0.39,9517.108398,-15.191025,49.728875,174.315454,0.192632,0.33985,0.137275,-4.824909
59264.79814181989,23503.171847,-0.4,9505.237419,-18.298729,49.703661,179.971975,0.195413,0.341462,0.142693,-4.7977
59264.799988769926,23494.66602,-0.41,9514.157339,-13.682602,49.631683,176.202212,0.192691,0.339936,0.139083,-4.815643
59264.80186037021,23504.449773,-0.42,9530.709019,-22.221417,49.672657,179.247508,0.194156,0.338012,0.142,-4.801091
59264.80372394994,23502.452001,-0.43,9528.310492,-23.93191,49.652658,171.634261,0.195258,0.340781,0.134707,-4.838427
59264.805583780166,23506.070709,-0.44,9520.272525,-18.716021,49.664906,173.281223,0.195038,0.336788,0.136285,-4.830074
59264.80745356018,23501.539738,-0.45,9526.124218,-24.680433,49.633879,174.731812,0.194899,0.339812,0.137674,-4.822847
59264.80931119993,23503.812953,-0.46,9533.678063,-22.54364,49.659332,174.141117,0.193146,0.340063,0.137108,-4.825775
59264.81117636012,23502.62541,-0.47,9535.885497,-20.414362,49.643894,175.331335,0.194002,0.336197,0.138248,-4.819895
59264.81305962987,23502.443449,-0.48,9525.120931,-21.857443,49.664765,174.387188,0.193642,0.339404,0.137344,-4.824553
59264.814927329775,23505.27467,-0.49,9505.63584,-25.007695,49.729685,175.861224,0.193062,0.339618,0.138756,-4.817303
59264.81678339979,23505.068795,-0.51,9537.243091,-22.482453,49.643134,177.47338,0.189018,0.33798,0.1403,-4.809509
59264.81865373021,23498.808356,-0.52,9527.599276,-19.212452,49.647471,178.466503,0.1933,0.336347,0.141251,-4.804777
59264.82051903987,23504.495779,-0.53,9524.198803,-10.099367,49.641686,170.074187,0.191683,0.336839,0.133213,-4.84649
59264.822366669774,23504.880537,-0.54,9519.019472,-21.299121,49.694003,176.199068,0.193849,0.338551,0.13908,-4.815658
59264.82423711009,23497.855104,-0.55,9525.847637,-17.787716,49.628221,175.570532,0.192916,0.335655,0.138478,-4.818723
59264.82605666993,23504.955685,-0.56,9526.672551,-16.352577,49.669795,173.184196,0.192942,0.337687,0.136192,-4.830561
59264.82790412987,23507.168113,-0.57,9503.893495,-0.009896,49.676095,168.458561,0.190526,0.337334,0.131665,-4.855002
59264.82975442987,23506.230671,-0.58,9531.509235,-17.895467,49.65869,176.230888,0.19582,0.338275,0.13911,-4.815503
59264.83161262004,23502.723209,-0.59,9525.476175,-19.943158,49.695837,171.033387,0.191913,0.337602,0.134132,-4.841515
59264.83351797983,23504.137896,-0.6,9521.93275,-13.131628,49.625225,173.692872,0.19546,0.339484,0.136679,-4.828011
59264.83536201995,23498.944905,-0.61,9510.205873,-20.132473,49.702125,175.724041,0.19292,0.336552,0.138625,-4.817972
59264.83727756981,23506.586871,-0.62,9533.440542,-17.300793,49.625163,174.072052,0.193039,0.338127,0.137042,-4.826119
59264.83907605987,23504.535927,-0.63,9513.905806,-11.509444,49.659234,171.292936,0.194861,0.338936,0.13438,-4.840178
59264.84095811984,23500.983475,-0.64,9548.061201,-16.258001,49.625336,172.411985,0.19328,0.339942,0.135452,-4.834462
59264.84280851018,23512.241443,-0.65,9526.95834,-26.765136,49.665858,169.089875,0.193766,0.33866,0.13227,-4.851656
59264.84465125995,23500.849375,-0.66,9525.380207,-25.418243,49.673489,174.264615,0.193904,0.337685,0.137227,-4.825161
59264.84653592994,23505.480716,-0.67,9519.223452,-21.816183,49.635062,174.537888,0.19187,0.337803,0.137488,-4.823806
59264.84841708001,23505.19041,-0.68,9521.571397,-14.605047,49.63633,174.239702,0.193496,0.335811,0.137203,-4.825285
59264.8502753498,23507.521068,-0.69,9511.547939,-22.286498,49.685179,175.175108,0.193934,0.339455,0.138099,-4.820662
59264.85212218016,23502.074585,-0.7,9508.999924,-27.967058,49.666845,178.493363,0.195094,0.337571,0.141277,-4.804649
59264.85397975985,23505.787966,-0.72,9523.667773,-20.156412,49.675099,171.804416,0.194315,0.338996,0.13487,-4.837556
59264.855731910095,23504.33982,-0.73,9516.94891,-28.535944,49.628698,174.650103,0.191254,0.33938,0.137596,-4.823251
