rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59816.72131884005,25511.723196,75.29,7270.717071,-48.78845,57.619734,350.141277,0.269496,0.240937,0.305691,-4.861961
59816.72445720993,25509.254842,72.77,7260.156938,-38.844722,57.545986,348.622797,0.271423,0.236593,0.304236,-4.864512
59816.72757823998,25512.350564,70.25,7267.888067,-39.482416,57.52556,349.027276,0.271206,0.239423,0.304624,-4.863831
59816.73070082022,25504.477417,67.74,7265.857365,-42.033852,57.515757,352.25114,0.268367,0.239063,0.307712,-4.858442
59816.73384111002,25503.502985,65.21,7266.849233,-38.106831,57.520606,356.194194,0.269991,0.23846,0.311489,-4.851941
59816.73692320008,25502.822465,62.73,7269.833177,-44.340744,57.536124,357.432491,0.271556,0.237066,0.312675,-4.849919
59816.74005910987,25499.814558,60.2,7260.268917,-35.235134,57.53974,359.328578,0.270694,0.237462,0.314491,-4.846842
59816.74315924989,25500.29603,57.7,7260.997345,-43.501077,57.547768,353.348195,0.268662,0.236836,0.308763,-4.856624
59816.74628025992,25493.521945,55.19,7266.265541,-35.240443,57.531468,349.89556,0.269942,0.235903,0.305456,-4.862373
59816.74932745006,25490.613919,52.73,7258.235118,-38.725312,57.550822,348.509142,0.26908,0.237519,0.304128,-4.864703
59816.75253476994,25491.359213,50.15,7281.526772,-45.97022,57.454408,347.56206,0.268171,0.239014,0.30322,-4.866302
59816.75564933987,25485.211921,47.64,7271.664074,-43.041455,57.571584,349.87276,0.268352,0.241354,0.305434,-4.862411
59816.758753850125,25484.654572,45.14,7260.198887,-43.908718,57.586772,347.865125,0.265658,0.23895,0.303511,-4.86579
59816.76186406007,25482.576997,42.64,7265.501807,-41.394022,57.532525,347.894407,0.267376,0.232871,0.303539,-4.86574
59816.764970649965,25476.030028,40.14,7265.395474,-40.300215,57.573227,357.494035,0.268226,0.23463,0.312734,-4.849819
59816.76808555983,25480.228537,37.63,7266.194552,-37.584715,57.479458,353.906058,0.269503,0.235011,0.309297,-4.855702
59816.77121149004,25477.249787,35.11,7257.254596,-38.276511,57.540616,354.280913,0.268567,0.232848,0.309656,-4.855083
