rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
60001.70161909005,-249.854906,10.88,12308.085818,22.802264,31.578528,153.227266,0.198124,0.408086,0.117076,
60001.70824408997,-266.31108,10.18,12266.411717,11.838218,31.543027,152.494407,0.20052,0.407457,0.116374,
60001.71462879982,-255.092185,9.51,12303.67725,0.723594,31.57451,151.578584,0.201887,0.403783,0.115497,
60001.72099412,-261.091337,8.84,12309.725632,21.185956,31.539063,152.776803,0.198618,0.405577,0.116644,
60001.72724566981,-261.30916,8.18,12280.340368,24.394878,31.609793,157.627857,0.202544,0.403139,0.121291,
60001.73379294016,-262.069084,7.49,12277.142137,15.806451,31.584786,153.993641,0.20088,0.402387,0.11781,
60001.74010899989,-261.866103,6.83,12291.94732,16.406882,31.605176,156.49564,0.201883,0.40239,0.120207,
60001.74646017002,-259.214945,6.16,12284.068965,11.927768,31.58455,154.993255,0.202093,0.405736,0.118767,
60001.75292214984,-249.002521,5.48,12282.834345,4.978434,31.661942,154.561919,0.203721,0.408295,0.118354,
60001.75932367006,-233.77169,4.8,12258.967751,7.186346,31.679717,157.4706,0.202768,0.408122,0.12114,
60001.765676890034,-215.962821,4.13,12273.42037,-8.179138,31.624888,151.410374,0.201313,0.407802,0.115336,
60001.77212338988,-200.615605,3.45,12262.648445,-8.215562,31.642837,155.124299,0.201414,0.40961,0.118893,
60001.77855126001,-208.033545,2.78,12296.054848,-27.464884,31.542622,154.817014,0.202024,0.40751,0.118599,
60001.78488712991,-221.989044,2.11,12344.026918,-24.062781,31.444698,156.797259,0.202539,0.407476,0.120495,
60001.791444600094,-240.025735,1.42,12353.122033,-18.426017,31.429549,156.16618,0.201318,0.407345,0.119891,
60001.79778293986,-259.638775,0.75,12375.58554,10.526717,31.456097,155.652436,0.201984,0.40842,0.119399,
60001.80415266007,-274.55566,0.08,12387.381211,37.536631,31.435158,154.214856,0.199868,0.405601,0.118022,
60001.81058559986,-291.284359,-0.6,12345.220704,36.930083,31.441184,157.882628,0.201923,0.407141,0.121535,
60001.8169698501,-305.739698,-1.27,12346.938122,62.030003,31.441053,157.661865,0.201684,0.404997,0.121324,
60001.823424169794,-324.924598,-1.95,12334.935991,52.322116,31.477721,155.011713,0.200033,0.408106,0.118785,
60001.82969318982,-332.68065,-2.61,12299.75723,54.308082,31.547998,154.031138,0.20065,0.405924,0.117846,
60001.83614616003,-320.534628,-3.29,12281.268416,41.520016,31.575928,155.606806,0.202789,0.40881,0.119355,
60001.8425697498,-305.642966,-3.97,12266.726733,20.357422,31.612614,155.352853,0.204064,0.406634,0.119112,
60001.84909171984,-285.663053,-4.65,12261.950614,15.525875,31.608888,155.956595,0.202084,0.404881,0.11969,
60001.85539011983,-277.311275,-5.32,12276.13093,3.887878,31.611038,154.666815,0.200524,0.406834,0.118455,
60001.86176222982,-273.594536,-5.99,12263.149033,6.571507,31.611112,156.780679,0.203005,0.405886,0.12048,
60001.86814620998,-267.069723,-6.66,12279.123057,22.092745,31.579243,155.610385,0.203492,0.409355,0.119359,
60001.87455028016,-273.650658,-7.33,12270.070265,9.572518,31.551488,156.841894,0.203595,0.406324,0.120538,
60001.88093471015,-279.297613,-8.01,12281.820294,8.913314,31.5886,155.389087,0.203066,0.407604,0.119147,
60001.88734418014,-276.737215,-8.68,12290.284984,14.493473,31.588826,155.630331,0.202812,0.409533,0.119378,
60001.893837859854,-276.417261,-9.37,12265.502007,0.549609,31.58057,155.610026,0.202829,0.406639,0.119358,
