rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
58737.53133918019,-14781.65107,17.71,8870.899395,-14.960448,48.412685,168.977098,0.193977,0.379643,0.132162,-4.842788
58737.53417452984,-14782.199632,17.29,8874.135917,-16.415141,48.394341,168.308389,0.193063,0.379002,0.131521,-4.846345
58737.53684474016,-14784.380821,16.89,8875.530297,-16.686756,48.399517,168.938084,0.193003,0.37962,0.132125,-4.842995
58737.53964554006,-14783.076086,16.47,8875.092749,-19.087793,48.406542,168.084406,0.193533,0.378717,0.131307,-4.847542
58737.54241095018,-14785.872389,16.06,8878.867227,-17.103532,48.403036,168.457558,0.193511,0.378491,0.131664,-4.845549
58737.54522213014,-14784.603196,15.64,8870.672909,-19.023269,48.415123,168.754144,0.192985,0.378624,0.131948,-4.843971
58737.54790145019,-14788.407823,15.24,8876.444482,-15.379001,48.401582,168.901629,0.194128,0.379239,0.13209,-4.843188
58737.55065333983,-14784.858143,14.83,8872.854366,-18.18311,48.406902,169.260991,0.194385,0.379611,0.132434,-4.841287
58737.55344041018,-14785.786488,14.41,8872.678822,-17.705098,48.397223,168.548689,0.193902,0.378706,0.131752,-4.845063
58737.556156659964,-14785.17595,14.01,8874.762969,-16.499914,48.38994,168.929041,0.193798,0.37882,0.132116,-4.843043
58737.5588312801,-14787.281586,13.61,8872.487159,-15.345781,48.411812,168.941415,0.193759,0.379237,0.132128,-4.842977
58737.56160901021,-14785.902976,13.19,8874.321356,-16.012047,48.393559,169.008242,0.193572,0.378877,0.132192,-4.842623
58737.5643284698,-14789.132135,12.79,8872.373756,-18.123494,48.410922,168.586545,0.193202,0.378553,0.131788,-4.844862
58737.56707403995,-14787.299213,12.38,8872.290239,-17.272907,48.395178,169.216035,0.194097,0.379112,0.132391,-4.841524
58737.56976553984,-14788.619832,11.97,8874.476472,-17.444307,48.406043,168.45252,0.193189,0.378752,0.13166,-4.845576
58737.572499080095,-14787.795668,11.57,8870.161333,-15.332617,48.420334,168.50808,0.193754,0.378992,0.131713,-4.84528
58737.57523971005,-14782.062286,11.16,8865.121225,-16.123889,48.44817,168.388111,0.193762,0.378819,0.131598,-4.845919
58737.57797960006,-14775.811356,10.75,8862.6609,-11.927257,48.471526,168.555668,0.193113,0.380581,0.131758,-4.845026
58737.580756159965,-14768.562665,10.33,8852.969756,-13.095607,48.512258,168.743999,0.193077,0.377986,0.131939,-4.844025
58737.58350992994,-14762.577087,9.92,8853.381077,-12.172659,48.527906,167.490703,0.193644,0.378504,0.130738,-4.850734
58737.586229939945,-14755.993076,9.52,8849.207128,-14.287095,48.527266,168.722712,0.193619,0.378525,0.131918,-4.844138
58737.589007120114,-14754.28997,9.1,8847.823272,-16.358638,48.53418,168.810803,0.193896,0.378531,0.132003,-4.84367
58737.59167358978,-14750.647167,8.7,8842.26428,-16.901639,48.535334,168.981767,0.193892,0.378249,0.132166,-4.842763
58737.59449141985,-14751.543702,8.28,8847.708608,-19.251067,48.517207,168.492649,0.194161,0.378666,0.131698,-4.845362
58737.597245850135,-14754.050269,7.87,8856.031369,-20.51743,48.491716,168.520029,0.19409,0.378414,0.131724,-4.845216
58737.60001068981,-14755.025361,7.46,8863.728922,-20.689111,48.463959,168.160872,0.193546,0.377964,0.13138,-4.847133
58737.6027016202,-14758.047203,7.06,8868.593797,-23.469742,48.425015,167.634251,0.193713,0.377872,0.130876,-4.84996
58737.605511560105,-14758.641565,6.64,8873.646559,-25.537529,48.401916,169.5096,0.194927,0.378307,0.132672,-4.839977
58737.608193669934,-14761.316,6.24,8880.887467,-26.18627,48.378652,168.865618,0.194545,0.378161,0.132055,-4.843379
58737.61096165981,-14763.727897,5.83,8882.292239,-24.655977,48.352639,169.122216,0.194287,0.3784,0.132301,-4.84202
58737.61361207021,-14766.861753,5.43,8887.32656,-27.516513,48.331361,168.972463,0.19432,0.378423,0.132158,-4.842813
58737.61642161012,-14770.51628,5.01,8894.761937,-25.998554,48.307872,168.830084,0.194103,0.378542,0.132021,-4.843568
58737.61920893006,-14776.124841,4.59,8899.472524,-23.981751,48.312205,169.193751,0.194275,0.379009,0.132369,-4.841642
58737.62193325022,-14780.280638,4.19,8896.81785,-27.228252,48.279407,169.486864,0.194322,0.378289,0.13265,-4.840096
58737.62468804,-14783.024991,3.78,8905.78051,-23.163033,48.257359,169.272369,0.194562,0.378229,0.132445,-4.841227
58737.62743408978,-14789.274635,3.37,8906.545561,-20.002305,48.269919,169.323832,0.193853,0.37946,0.132494,-4.840955
58737.63014086988,-14791.452558,2.96,8907.489387,-18.636055,48.260496,169.182443,0.194241,0.379081,0.132359,-4.841702
58737.632871069945,-14797.896696,2.56,8906.966702,-20.023475,48.264082,168.875089,0.194314,0.378561,0.132064,-4.843329
58737.63565590978,-14801.829399,2.14,8910.235044,-15.146573,48.247728,169.363264,0.19485,0.378694,0.132532,-4.840747
58737.63830704009,-14806.691706,1.74,8905.276823,-14.091693,48.266875,169.311363,0.193561,0.378411,0.132482,-4.841021
58737.64109052019,-14810.433715,1.33,8902.155886,-11.629752,48.270113,169.367663,0.194626,0.378791,0.132536,-4.840724
58737.64379672008,-14814.992294,0.92,8904.351475,-10.642569,48.271386,169.542638,0.194101,0.378926,0.132704,-4.839803
58737.64654600015,-14819.194169,0.51,8902.547101,-7.466012,48.296171,169.058726,0.194379,0.378231,0.13224,-4.842356
58737.649290670175,-14824.834979,0.1,8896.171089,-7.421812,48.299771,169.283367,0.1938,0.378014,0.132455,-4.841169
58737.652013210114,-14828.299274,-0.3,8892.125025,-5.044377,48.321926,169.577508,0.194017,0.378972,0.132737,-4.839619
58737.65478779981,-14830.943406,-0.72,8885.287684,-7.450034,48.353573,169.920399,0.194641,0.378579,0.133066,-4.83782
58737.65750106005,-14833.011141,-1.12,8882.086151,-7.727662,48.360607,169.311907,0.193886,0.378047,0.132483,-4.841018
58737.660286420025,-14836.658553,-1.54,8873.406192,-8.510171,48.399403,169.181936,0.194746,0.378822,0.132358,-4.841704
58737.663005679846,-14839.110239,-1.94,8868.186896,-8.299544,48.415641,169.089288,0.193831,0.378199,0.132269,-4.842194
