rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59437.53831506008,-2174.76025,47.76,7477.005863,-32.279851,57.246647,516.566455,0.34936,0.18211,0.465102,-4.545098
59437.54226760985,-2177.035396,45.49,7475.08307,-31.580881,57.238499,517.318432,0.350085,0.181946,0.465822,-4.544336
59437.546397769824,-2179.202617,43.11,7474.116028,-32.931664,57.242054,518.070345,0.350829,0.181935,0.466542,-4.543576
59437.55074374005,-2181.89504,40.62,7474.71702,-32.177716,57.256935,518.546523,0.350409,0.181665,0.466999,-4.543095
59437.554865359794,-2183.792252,38.25,7475.447079,-32.909677,57.246594,517.067939,0.348935,0.181384,0.465582,-4.54459
59437.55902558984,-2186.348662,35.86,7473.743511,-31.789973,57.255352,516.190108,0.349151,0.181718,0.464741,-4.54548
59437.56317690015,-2188.826982,33.47,7475.488339,-31.873302,57.249776,516.620539,0.349869,0.181503,0.465154,-4.545043
59437.56747541018,-2191.072047,31.0,7476.050993,-32.843806,57.251096,516.824752,0.349498,0.181552,0.465349,-4.544836
59437.5715736798,-2193.349033,28.65,7475.277669,-32.097511,57.25426,517.020732,0.350104,0.181506,0.465537,-4.544638
59437.575743400026,-2195.621149,26.25,7475.753554,-31.61451,57.234747,516.469289,0.349294,0.181619,0.465009,-4.545197
59437.57994234003,-2197.767303,23.84,7476.408131,-32.022355,57.239242,516.468446,0.34945,0.18171,0.465008,-4.545197
59437.58415905014,-2201.127153,21.42,7476.090844,-32.498241,57.230843,515.435434,0.348516,0.181798,0.464019,-4.546246
59437.5882519302,-2201.279943,19.07,7475.838263,-31.320247,57.257595,514.025013,0.346639,0.18158,0.462668,-4.547683
59437.59238235978,-2195.2729,16.69,7469.188065,-31.539575,57.316828,510.314701,0.346467,0.181492,0.459114,-4.551484
59437.59664548002,-2185.228164,14.25,7463.515108,-31.349283,57.35665,509.549215,0.345475,0.180907,0.45838,-4.552272
59437.60072909016,-2178.308568,11.9,7462.909538,-32.616029,57.365768,506.130504,0.34471,0.180637,0.455106,-4.55581
59437.60487713013,-2177.152979,9.52,7470.922085,-35.458527,57.294945,509.14554,0.345859,0.180581,0.457994,-4.552688
59437.60922616022,-2182.411563,7.02,7483.925475,-39.141633,57.19084,514.663114,0.346728,0.180959,0.463279,-4.547032
59437.61328089005,-2189.79602,4.69,7497.617386,-38.200831,57.106427,516.777523,0.346878,0.181382,0.465304,-4.544884
59437.617449339945,-2201.936732,2.29,7506.089312,-37.63521,57.049306,516.173369,0.346594,0.181346,0.464725,-4.545497
59437.62156753987,-2214.30312,-0.07,7511.419513,-33.20703,56.999718,520.025759,0.348413,0.181642,0.468415,-4.541605
59437.62576280022,-2227.229627,-2.48,7511.274729,-30.310353,57.003148,520.192545,0.347841,0.181822,0.468575,-4.541437
59437.6300129001,-2240.086594,-4.93,7507.418132,-26.21246,57.025229,520.694195,0.347904,0.181675,0.469056,-4.540933
59437.63414390991,-2253.654162,-7.3,7500.929706,-23.545584,57.065503,520.884181,0.348777,0.181858,0.469238,-4.540742
59437.63828364015,-2263.133994,-9.68,7491.170037,-22.495704,57.152275,520.144408,0.348717,0.182031,0.468529,-4.541485
59437.64250206994,-2269.913998,-12.1,7478.394204,-21.423982,57.238026,516.891232,0.34779,0.182,0.465413,-4.544769
59437.64665907016,-2271.301196,-14.49,7469.440985,-25.601204,57.318219,514.992999,0.347247,0.181727,0.463595,-4.546696
59437.65084057022,-2265.196984,-16.89,7466.706111,-29.249998,57.344354,514.19127,0.346054,0.181939,0.462827,-4.547513
59437.65498419991,-2256.048275,-19.27,7469.475942,-30.814734,57.307909,514.766935,0.345334,0.182425,0.463378,-4.546926
59437.65918490989,-2248.439286,-21.69,7476.648078,-30.071921,57.254297,514.258911,0.345962,0.18275,0.462892,-4.547444
59437.66327544022,-2246.094327,-24.04,7478.505067,-30.671531,57.221104,513.936226,0.345669,0.18271,0.462583,-4.547773
59437.667449030094,-2249.526016,-26.43,7479.176744,-31.79179,57.230396,512.949085,0.345286,0.182857,0.461637,-4.548781
59437.67166381981,-2251.595616,-28.86,7478.447558,-31.057915,57.236012,512.917226,0.345334,0.182708,0.461607,-4.548814
59437.67588783009,-2254.003804,-31.28,7477.438759,-31.077841,57.239842,511.822842,0.345062,0.182731,0.460558,-4.549935
59437.67990555987,-2255.958174,-33.59,7479.428679,-29.957274,57.227672,514.113527,0.344886,0.182619,0.462752,-4.547592
59437.684256230015,-2259.54818,-36.09,7478.751486,-30.248807,57.232155,513.059112,0.345419,0.182929,0.461742,-4.548669
59437.68835265003,-2261.475309,-38.44,7480.141125,-29.575802,57.23396,513.811231,0.344944,0.18286,0.462463,-4.547901
59437.69252524013,-2263.055902,-40.84,7478.935521,-29.605709,57.246552,513.893258,0.345612,0.182896,0.462541,-4.547817
59437.69669392984,-2265.022956,-43.24,7478.448358,-29.29566,57.244016,513.750156,0.34511,0.182776,0.462404,-4.547963
59437.70016852021,-2268.401345,-45.23,7478.16642,-29.00087,57.265535,512.638612,0.345554,0.183159,0.46134,-4.549099
59437.70607818011,-2274.337864,-48.63,7477.684577,-29.80573,57.34011,501.041301,0.344556,0.184142,0.450231,-4.561132
