rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59233.60786249023,34558.016994,83.31,8068.461625,-23.798785,57.069536,159.448842,0.200286,0.240692,0.123035,-5.11402
59233.61214092001,34550.358128,80.5,8074.004614,-17.270437,57.087051,163.263181,0.201521,0.24009,0.126689,-5.092111
59233.61642829003,34550.959085,77.67,8075.330394,-24.287147,57.062906,160.422543,0.202772,0.241351,0.123968,-5.108322
59233.620663939975,34544.704987,74.88,8058.18916,-15.621467,57.11959,157.520808,0.199788,0.241759,0.121189,-5.12553
59233.62501693005,34546.244493,72.02,8081.50782,-24.456917,57.057145,166.113572,0.201279,0.240444,0.129419,-5.076432
59233.62922073016,34539.787295,69.25,8071.733944,-21.952638,57.056487,160.858062,0.200968,0.241565,0.124385,-5.105797
59233.63363326993,34538.574702,66.34,8070.390865,-23.550893,57.074707,158.59306,0.201562,0.243527,0.122216,-5.119091
59233.63790330989,34534.883928,63.53,8065.105191,-25.036763,57.102097,164.276538,0.203408,0.240434,0.12766,-5.086472
59233.64225537004,34533.996516,60.67,8065.555331,-27.055326,57.077579,162.269985,0.203567,0.242279,0.125738,-5.097711
59233.64646896021,34529.261426,57.89,8068.433837,-27.871614,57.060551,162.151518,0.198,0.241463,0.125624,-5.098383
59233.65074214991,34529.909139,55.08,8073.931136,-18.391063,57.066908,162.029402,0.200056,0.241556,0.125507,-5.099078
59233.655048499815,34527.088353,52.24,8064.187959,-21.199898,57.078065,161.179279,0.199181,0.242793,0.124693,-5.103944
59233.65929980017,34523.500234,49.44,8067.881372,-17.294193,57.064727,165.739038,0.198385,0.241978,0.12906,-5.07846
59233.66354457988,34517.599225,46.65,8069.745268,-15.821112,57.073327,168.178786,0.201052,0.242624,0.131397,-5.065415
59233.66783525981,34517.774238,43.82,8072.124625,-23.146177,57.057632,165.202369,0.199396,0.239397,0.128546,-5.081383
59233.672079709824,34515.354327,41.03,8077.333076,-20.55418,57.043432,162.139859,0.199729,0.242845,0.125613,-5.09845
